specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
568656457642305536,1237651753463972001,0.1517175,2.30492E-05,19.57475,17.55434,16.43229,15.99015,15.62284,0.07420876,0.00704256,0.004487993,0.00451083,0.01056051
862589724554979328,1237655107829498001,0.02622369,8.60513E-06,19.3611,18.1892,17.70408,17.47827,17.28071,0.04716901,0.009770394,0.009464363,0.01041283,0.03198563
932418609697810432,1237657776615457001,0.1766715,4.154052E-05,20.90059,18.84892,17.61355,17.14058,16.78255,0.1251601,0.01143179,0.00692452,0.007105025,0.01552261
1137210902278334464,1237658801494819001,0.03126429,6.249315E-06,18.6875,17.50631,17.1807,16.97791,17.50105,0.04008647,0.007782707,0.008781754,0.01015602,0.05792781
1444611265556146176,1237661149770023001,0.1431022,3.487366E-05,20.19608,18.37728,17.3276,16.88669,16.55247,0.07543648,0.009398369,0.006157137,0.006386587,0.01520628
1468346426940483584,1237661068172329001,0.009728121,4.870768E-06,17.668,16.85342,16.69341,16.76247,16.64753,0.01535224,0.004764353,0.005117299,0.007160047,0.02130681
1520117203339339776,1237661873489576001,0.2082822,5.979889E-05,20.95314,18.7368,17.37772,16.75369,16.3588,0.2006257,0.01416787,0.00721718,0.006702164,0.01396571
1521225236249339904,1237661873490428001,0.1963722,1.774203E-05,19.40534,18.36042,17.61905,17.22621,16.96368,0.04092661,0.008724947,0.006902897,0.007437275,0.01728009
1919691016684726272,1237661949729833001,0.0252091,8.995441E-06,17.57789,15.71469,14.89276,14.51452,14.20114,0.01607225,0.002804257,0.002428137,0.002410165,0.003871022
2048122507633911808,1237662264861000001,0.04458747,1.196539E-05,18.35587,17.19256,16.74408,16.46502,16.34472,0.03308371,0.00580882,0.005745742,0.006945475,0.02072349
2059316068211517440,1237662267534541001,0.1234325,1.305065E-05,18.53982,17.33387,16.67305,16.2977,16.039,0.03208031,0.006202389,0.005522528,0.005442582,0.01357368
2067232295055550464,1237662267002913001,0.07595132,1.751388E-05,18.91859,17.10517,16.13643,15.61589,15.19235,0.05756475,0.00678214,0.0050335,0.004925559,0.00994723
