specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
843427985309591552,1237652943711437002,0.1041406,2.683308E-05,20.75418,18.67586,17.67239,17.24494,16.9086,0.1197458,0.01037377,0.00715485,0.00733749,0.01939737
923403166135904256,1237655504033743002,0.1217311,1.905909E-05,18.59963,16.74433,15.71139,15.27508,14.91149,0.03153294,0.004461405,0.003114258,0.003227418,0.005968674
928911167135442944,1237657117870326002,0.1429644,3.055097E-05,20.66998,18.58585,17.40831,16.94942,16.55302,0.1205819,0.01061313,0.006499647,0.006031959,0.01324881
933523068775589888,1237657117875045002,0.4281102,9.795793E-05,24.5742,20.87885,19.108,18.35308,17.88145,2.096035,0.06025814,0.02077764,0.01557131,0.03836157
1078721002839500800,1237655108917396002,0.388978,0.0002147067,21.6596,20.73778,18.95342,18.25292,17.80612,0.3054608,0.07003368,0.02154536,0.01822515,0.03846457
1127063784695818240,1237658422481191002,0.1030279,6.581495E-06,18.5857,17.61879,17.23989,16.91226,16.79312,0.02580254,0.00643187,0.006113695,0.006273189,0.01710585
1130482716991580160,1237658422482895002,0.09855954,3.91989E-05,21.14396,18.84128,17.8002,17.32901,16.93801,0.1206064,0.01051335,0.006652211,0.006132287,0.01185485
1178929948258232320,1237659120934781002,0.0466654,1.154E-05,18.97978,18.06395,17.56585,17.30679,17.20075,0.04806884,0.009523788,0.009885915,0.01185659,0.04039381
1184602049388505088,1237659161198199002,0.2116711,9.693464E-06,19.96386,19.25464,18.7852,18.41932,18.36564,0.03915203,0.01137023,0.01036424,0.01083995,0.0322083
1184603423778039808,1237659161198330002,0.1472722,2.499391E-05,20.07107,18.05966,16.95234,16.50599,16.17998,0.07044522,0.007996504,0.005134024,0.005084318,0.01097735
1194745596846565376,1237657117869933002,0.3747399,0.0001426834,23.07806,20.54559,18.75418,18.07287,17.58079,1.044806,0.04964094,0.01698569,0.01298465,0.03023385
1348996908210743296,1237657775006155002,0.09559557,3.959161E-05,20.6135,18.24428,17.21528,16.66832,16.21947,0.1211896,0.008992509,0.006074113,0.005756861,0.01285884
1362366695263463424,1237660963474637002,0.06620026,7.186987E-06,18.99087,18.04759,17.73204,17.44779,17.35612,0.02856568,0.006521826,0.006620469,0.007344798,0.02003513
1365744674408523776,1237660342860710002,0.1387306,3.127269E-05,20.12818,18.38698,17.39723,16.9425,16.58884,0.09308594,0.01020114,0.007576762,0.007885474,0.01861569
1502013194263095296,1237661386003317002,0.02335103,9.405719E-06,18.23319,17.19899,16.76385,16.51396,16.33296,0.02031111,0.004985587,0.004614053,0.005180022,0.01343233
1529016928822126592,1237661356461392002,0.08436601,2.75552E-05,20.12727,18.35334,17.55741,17.18634,16.94798,0.08222723,0.009813622,0.007404098,0.007638631,0.01824899
1801510821289814016,1237671932817572002,0.09770045,2.310266E-05,19.65313,17.81334,16.85467,16.44369,16.09973,0.05519352,0.006543922,0.004749427,0.00464476,0.00898465
